"Comune";"Area_provenienza";"Paese_provenienza";"MeasuresLevel";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Abetone";"Italia";"Liguria";"Arrivi";"852.0";"843.0";"650.0";"806.0";"769.0";"893.0";"828.0";"811.0";"838.0";"781.0";"934.0";"663.0";"";""
"Abetone";"Italia";"Lombardia";"Arrivi";"865.0";"626.0";"760.0";"740.0";"751.0";"775.0";"965.0";"748.0";"935.0";"932.0";"975.0";"723.0";"";""
"Abetone";"Italia";"Marche";"Arrivi";"267.0";"337.0";"252.0";"227.0";"224.0";"250.0";"233.0";"172.0";"193.0";"156.0";"261.0";"242.0";"";""
"Abetone";"Italia";"Molise";"Arrivi";"23.0";"36.0";"17.0";"31.0";"10.0";"52.0";"25.0";"12.0";"41.0";"26.0";"64.0";"17.0";"";""
"Abetone";"Italia";"Piemonte";"Arrivi";"471.0";"412.0";"445.0";"640.0";"471.0";"619.0";"621.0";"445.0";"456.0";"552.0";"389.0";"418.0";"";""
"Abetone";"Italia";"Puglia";"Arrivi";"295.0";"385.0";"398.0";"257.0";"205.0";"177.0";"221.0";"202.0";"148.0";"145.0";"191.0";"127.0";"";""
"Abetone";"Italia";"Regione italiana non indicata";"Arrivi";"";"1.0";"10.0";"344.0";"1587.0";"30.0";"16.0";"";"";"";"";"";"";""
"Abetone";"Italia";"Sardegna";"Arrivi";"134.0";"149.0";"173.0";"115.0";"93.0";"193.0";"81.0";"55.0";"93.0";"70.0";"101.0";"129.0";"";""
"Abetone";"Italia";"Sicilia";"Arrivi";"314.0";"277.0";"232.0";"331.0";"293.0";"190.0";"238.0";"192.0";"188.0";"115.0";"172.0";"160.0";"";""
"Abetone";"Italia";"Toscana";"Arrivi";"15585.0";"14180.0";"11701.0";"15453.0";"15258.0";"14513.0";"15578.0";"16604.0";"20221.0";"15142.0";"19257.0";"17731.0";"";""
"Abetone";"Italia";"Trento";"Arrivi";"114.0";"102.0";"127.0";"137.0";"110.0";"253.0";"256.0";"114.0";"133.0";"166.0";"88.0";"110.0";"";""
"Abetone";"Italia";"Umbria";"Arrivi";"1080.0";"1029.0";"756.0";"1294.0";"1087.0";"1156.0";"1215.0";"900.0";"1320.0";"1086.0";"934.0";"893.0";"";""
"Abetone";"Italia";"Valle d'Aosta";"Arrivi";"92.0";"29.0";"45.0";"80.0";"59.0";"84.0";"45.0";"58.0";"23.0";"27.0";"54.0";"59.0";"";""
"Abetone";"Italia";"Veneto";"Arrivi";"326.0";"288.0";"372.0";"326.0";"284.0";"323.0";"419.0";"514.0";"429.0";"419.0";"397.0";"287.0";"";""
"Abetone";"Altri Paesi Europei";"Albania";"Arrivi";"";"";"7.0";"13.0";"7.0";"14.0";"3.0";"";"";"";"";"";"";""
"Abetone";"Altri Paesi Europei";"Altri Paesi Europei";"Arrivi";"104.0";"59.0";"58.0";"20.0";"59.0";"28.0";"34.0";"55.0";"57.0";"30.0";"29.0";"43.0";"";""
"Abetone";"Altri Paesi Europei";"Bielorussia";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"1.0";"1.0";"4.0";"";""
"Abetone";"Altri Paesi Europei";"Bosnia-Erzegovina";"Arrivi";"";"";"";"5.0";"4.0";"1.0";"";"";"";"";"";"";"";""
"Abetone";"Altri Paesi Europei";"Islanda";"Arrivi";"8.0";"8.0";"";"1.0";"15.0";"14.0";"9.0";"12.0";"1.0";"4.0";"3.0";"";"";""
"Abetone";"Altri Paesi Europei";"Iugoslavia";"Arrivi";"";"";"";"2.0";"";"1.0";"";"";"";"";"";"";"";""
"Abetone";"Altri Paesi Europei";"Macedonia";"Arrivi";"";"";"";"";"4.0";"";"";"";"";"";"";"";"";""
"Abetone";"Altri Paesi Europei";"Norvegia";"Arrivi";"31.0";"66.0";"32.0";"31.0";"13.0";"17.0";"34.0";"6.0";"4.0";"9.0";"10.0";"10.0";"";""
"Abetone";"Altri Paesi Europei";"Paese europeo non indicato";"Arrivi";"1.0";"";"";"14.0";"6.0";"";"8.0";"";"";"";"";"";"";""
"Abetone";"Altri Paesi Europei";"Polonia";"Arrivi";"150.0";"70.0";"85.0";"92.0";"81.0";"297.0";"477.0";"339.0";"424.0";"423.0";"408.0";"138.0";"";""
"Abetone";"Altri Paesi Europei";"Repubblica Ceca";"Arrivi";"40.0";"1.0";"37.0";"27.0";"15.0";"2.0";"17.0";"6.0";"11.0";"24.0";"18.0";"21.0";"";""
"Abetone";"Altri Paesi Europei";"Repubblica di Moldova";"Arrivi";"";"1.0";"1.0";"2.0";"1.0";"2.0";"4.0";"4.0";"2.0";"";"5.0";"1.0";"";""
"Abetone";"Altri Paesi Europei";"Russia";"Arrivi";"31.0";"49.0";"16.0";"47.0";"39.0";"53.0";"75.0";"79.0";"51.0";"74.0";"34.0";"37.0";"";""
"Abetone";"Altri Paesi Europei";"Slovacchia";"Arrivi";"19.0";"16.0";"7.0";"2.0";"19.0";"6.0";"12.0";"";"2.0";"2.0";"3.0";"2.0";"";""
"Abetone";"Altri Paesi Europei";"Slovenia";"Arrivi";"10.0";"10.0";"3.0";"20.0";"24.0";"15.0";"19.0";"28.0";"6.0";"21.0";"17.0";"1.0";"";""
"Abetone";"Altri Paesi Europei";"Svizzera";"Arrivi";"66.0";"70.0";"80.0";"36.0";"54.0";"50.0";"83.0";"";"";"";"";"";"";""
"Abetone";"Altri Paesi Europei";"Svizzera (incluso Liechtenstein)";"Arrivi";"";"";"";"";"";"";"";"66.0";"60.0";"34.0";"62.0";"85.0";"";""
"Abetone";"Altri Paesi Europei";"Turchia";"Arrivi";"17.0";"1.0";"";"2.0";"23.0";"11.0";"8.0";"";"";"3.0";"2.0";"1.0";"";""
"Abetone";"Altri Paesi Europei";"Ucraina";"Arrivi";"14.0";"7.0";"28.0";"5.0";"5.0";"10.0";"14.0";"4.0";"5.0";"11.0";"12.0";"8.0";"";""
"Abetone";"Altri Paesi Europei";"Ungheria";"Arrivi";"6.0";"2.0";"15.0";"4.0";"10.0";"";"5.0";"4.0";"2.0";"";"5.0";"2.0";"";""
"Abetone";"Altri Paesi Extraeuropei";"Non specificato";"Arrivi";"";"";"";"";"";"";"";"2.0";"";"1.0";"";"";"";""
"Abetone";"Altri Paesi Extraeuropei";"Paesi e territori non indicati";"Arrivi";"8.0";"4.0";"10.0";"1.0";"";"24.0";"";"";"";"";"";"";"";""
"Abetone";"Paesi Africani";"Altri Paesi Africa Mediterranea";"Arrivi";"5.0";"4.0";"1.0";"";"5.0";"";"";"";"2.0";"4.0";"3.0";"1.0";"";""
"Abetone";"Paesi Africani";"Altri Paesi dell'Africa";"Arrivi";"";"";"";"";"";"";"";"6.0";"8.0";"4.0";"";"14.0";"";""
"Abetone";"Paesi Africani";"Altri Paesi dell'Africa centrale e del sud";"Arrivi";"2.0";"3.0";"9.0";"5.0";"9.0";"3.0";"39.0";"";"";"";"";"";"";""
"Abetone";"Paesi Africani";"Egitto";"Arrivi";"4.0";"5.0";"4.0";"";"";"";"1.0";"";"0.0";"";"";"";"";""
"Abetone";"Paesi Africani";"Paese dell'Africa non indicato";"Arrivi";"1.0";"";"";"1.0";"6.0";"1.0";"3.0";"";"";"";"";"";"";""
"Abetone";"Paesi Africani";"Sud Africa";"Arrivi";"6.0";"7.0";"10.0";"14.0";"9.0";"8.0";"17.0";"14.0";"8.0";"5.0";"16.0";"1.0";"";""
"Abetone";"Paesi Asiatici";"Altri Paesi Asia Occidentale";"Arrivi";"";"";"";"";"";"";"";"9.0";"7.0";"23.0";"16.0";"12.0";"";""
